staff_id,name,address,office,fte
6832.0,,Studio 95y Andrea curve New Wendymouth BT8 1LY,Leeds,0.5
4517.0,,31 Harriet brooks Carrollport B4 9ST,london,0.1
927.0,Phillip Rodriguez,05 Ferguson circles Lanemouth B44 5JS,Halifax,0.2
5969.0,Abigail Hall,41 Leanne avenue Grahamfurt SG4 4FU,Manchester,0.7
4643.0,Nicholas Garcia,Flat 28 Phillips court North Jessicabury E9F 8RH,Leeds,0.9
,Terry Reid,Studio 77A Alice ville Morganstad BN1 7XH,Leeds,0.9
9993.0,Jared Riley,Studio 26b Paige curve Port Roy G0T 6AE,Leeds,0.2
5155.0,,Flat 22 Robinson inlet Joelbury G9 7LA,manchester,0.8
8314.0,,34 Garner burg Blackchester B3C 7NX,Birmingham,0.9
7613.0,Francis Phillips,72 Carr station Tinafort DN9 9EA,Leeds,0.6
8549.0,William Blair,,London,0.7
,,07 Fowler plains Judithbury GL29 9ZF,Leeds,0.5
2346.0,April Dixon,Studio 84i Samuel ports Smithburgh IG13 0WG,London,0.8
7790.0,Bethany Mills,266 Kyle bypass Stephensonstad TR49 3RA,Leeds,2.0
5108.0,Karen Cook,Studio 47b Cunningham spurs South Alexander L49 6ZR,,0.2
